#,ML #,Change,PType,St,HOA Type,Year Built,HOA Fee Frequency,Lot Size,HOA Fee,Property Type,Close Date,Original List Price,Close Price,List Price,Original Mortgage Date,Withdrawn Date,Listing Contract Date,Days On Market,Subdivision Name,SqFt,Beds Total,Bath Total,GAR/CP/TCP,Acres,Pool YN,Address,City,Latitude,Longitude,Current Price
501,20182869,,RESI,Active,None,1948,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/11/2022,8,Factory Place Add,"1,194",2,1,1/0/1,0.138,No,4367 Valentine  Street ,Fort Worth,32.725009,-97.383102,"$285,000 "
501,20182925,,RESI,Active,None,1994,,Less Than .5 Acre (not Zero),,Residential,,"$309,900 ",,"$285,000 ",,,10/10/2022,9,Westpoint Add,"1,911",3,2,2/0/2,0.136,No,10213 Sunset View  Drive ,Fort Worth,32.750732,-97.503935,"$285,000 "
501,20183228,,RESI,Active,None,1943,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/10/2022,9,River Oak,"1,997",4,2,/2/1,0.129,No,1605 Montrose  Drive ,River Oaks,32.784785,-97.392295,"$285,000 "
501,20183337,,RESI,Active,Voluntary,2006,Annually,Less Than .5 Acre (not Zero),$25 ,Residential,,"$285,000 ",,"$285,000 ",,,10/10/2022,9,Harbor Point Sec 01,"1,640",3,2,2/0/2,0.36,No,326 Backlash  Drive ,Gun Barrel City,32.349864,-96.149537,"$285,000 "
501,20183484,,RESI,Active,None,1985,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/11/2022,8,High Chaparral Add,"1,586",3,2,2/0/2,0.209,No,753 Santa Fe  Trail ,Keller,32.923612,-97.257455,"$285,000 "
501,20183797,N,RESI,Active,None,1951,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Eubank Troy Add,"1,532",3,2,1/2/2002,0.258,Yes,925 Carondolet  Court ,River Oaks,32.77469,-97.394542,"$285,000 "
501,20183967,,RESI,Active,None,1992,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/12/2022,7,Willow Creek Add,"1,412",3,2,4/0/4,0.152,No,1916 Green Willow  Drive ,Fort Worth,32.630108,-97.346461,"$285,000 "
501,20184023,N,RESI,Active,None,2004,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Parks At Susan Drive The,"1,257",3,2,2/0/2,0.1,No,3018 Casa Bella  Drive ,Arlington,32.722819,-97.055905,"$285,000 "
501,20184073,,RESI,Active,None,1948,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/12/2022,7,Worthview Add,"2,496",4,2,1/2/2003,0.213,No,600 Worthview  Drive ,River Oaks,32.767837,-97.392683,"$285,000 "
501,20184280,,RESI,Active,None,1956,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/11/2022,8,Hollandale Add,"1,220",3,2,2/0/2,0.213,Yes,2200 Ridgeway  Street ,Arlington,32.728672,-97.071382,"$285,000 "
501,20184587,,RESI,Active,None,2019,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/12/2022,7,Vickery Southeast Add,"1,600",3,2,2/0/2,0.023,No,1242  E Powell  Avenue ,Fort Worth,32.718865,-97.310489,"$285,000 "
501,20185164,,RESI,Active,None,1996,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/12/2022,7,Pecan Square,"1,184",3,2,1/0/1,0.172,No,301  W Pecan  Street ,Aubrey,33.300953,-96.988431,"$285,000 "
501,20185474,N,RESI,Active,None,1988,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/17/2022,2,Slack Daniel,"1,618",3,2,2/0/2,0.43,No,2320 Fannin  Street ,Greenville,33.143368,-96.072677,"$285,000 "
501,20185621,N,RESI,Active,None,1980,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Sugarberry Hill,"1,700",3,3,2/0/0,0.189,No,8718 County View  Road ,Dallas,32.646155,-96.94681,"$285,000 "
501,20185629,N,RESI,Active,Mandatory,1977,Monthly,Less Than .5 Acre (not Zero),$168 ,Residential,,"$285,000 ",,"$285,000 ",,,10/17/2022,2,Decordova Bend Estate,"1,490",2,2,2/0/2,0.12,No,3916 Cimmaron  Trail ,De Cordova,32.431446,-97.686162,"$285,000 "
501,20185828,N,RESI,Active,None,1983,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Edgeview Add,"1,397",3,2,2/0/2,0.241,No,4217 Cypress Springs  Drive ,Arlington,32.639082,-97.175746,"$285,000 "
501,20186143,N,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Belmont,"1,250",3,2,1/0/1,0.138,No,304  N Elliott  Avenue ,Sherman,33.62699,-96.709564,"$285,000 "
501,20186150,N,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/14/2022,5,Belmont,"1,250",3,2,1/0/1,0.138,No,308  N Elliott  Avenue ,Sherman,33.64529,-96.585043,"$285,000 "
501,20186924,N,RESI,Active,Mandatory,2016,Annually,Less Than .5 Acre (not Zero),$300 ,Residential,,"$285,000 ",,"$285,000 ",,,10/13/2022,6,South Fork Add Ph 2 Pt 1,"1,557",4,2,2/0/0,0.302,No,1017 Lord Ranch  Road ,Waco,31.581092,-97.08322,"$285,000 "
501,20187415,N,RESI,Active,None,1970,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/18/2022,1,Northlake Estates,"1,330",3,2,/0/0,0.175,No,1009 Manitoba  Drive ,Garland,32.924549,-96.617959,"$285,000 "
501,20188709,N,RESI,Active,None,1955,,Less Than .5 Acre (not Zero),,Residential,,"$285,000 ",,"$285,000 ",,,10/18/2022,1,Wedgwood Add,"1,796",3,2,0/0/0,0.326,No,5504 Winifred  Drive ,Fort Worth,32.666801,-97.386319,"$285,000 "
501,20187607,N,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$650 ,Residential,,"$286,007 ",,"$286,007 ",,,10/18/2022,1,Briarwood Hills,"1,475",3,2,2/0/2,0.11,No,1447 Rolling Fox  Drive ,Forney,32.788848,-96.423189,"$286,007 "
501,20180036,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$400 ,Residential,,"$286,990 ",,"$286,990 ",,,10/6/2022,13,Remington Ridge,"1,649",4,2,2/0/2,0.126,No,811 Peighton  Drive ,Cleburne,32.340597,-97.433495,"$286,990 "
501,20183888,,RESI,Active,Mandatory,2022,Quarterly,Less Than .5 Acre (not Zero),$90 ,Residential,,"$286,999 ",,"$286,999 ",,,10/11/2022,8,Llano Springs,"1,487",3,2,2/0/2,0.126,No,8313 Bell Ridge  Lane ,Fort Worth,32.619087,-97.424636,"$286,999 "
501,20186833,N,RESI,Active,None,2018,,Less Than .5 Acre (not Zero),,Residential,,"$287,000 ",,"$287,000 ",,,10/14/2022,5,Gemstone Estates Ph Six,"1,533",3,2,2/0/2,0.129,No,233 Jacinth  Lane ,Granbury,32.471778,-97.705918,"$287,000 "
501,20178263,$,RESI,Active,None,1990,,1 to < 3 Acres,,Residential,,"$295,000 ",,"$287,500 ",,,10/4/2022,14,Valverde,"1,464",4,2,/0/0,2,No,12608 Co Road 339A ,Terrell,32.788103,-96.137468,"$287,500 "
501,20178546,,RESI,Active,None,1967,,Less Than .5 Acre (not Zero),,Residential,,"$287,500 ",,"$287,500 ",,,10/4/2022,15,Arkansas Heights Add,"1,422",4,3,2/0/2,0.186,No,1209 Shelmar  Drive ,Arlington,32.704425,-97.091581,"$287,500 "
501,20181871,,RESI,Active,Mandatory,2015,Annually,Less Than .5 Acre (not Zero),$60 ,Residential,,"$287,700 ",,"$287,700 ",,,10/7/2022,12,Cedar Creek Add Sec II Ph III,"1,367",3,2,2/0/2,0.138,No,126 Comanche  Drive ,Greenville,33.087182,-96.087941,"$287,700 "
501,20184918,,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$287,000 ",,"$287,900 ",,,10/11/2022,8,Brodie Estates,"1,312",3,2,2/0/2,0.14,No,905 Blane  Circle ,Lampasas,31.0809,-98.217909,"$287,900 "
501,20184983,N,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$287,900 ",,"$287,900 ",,,10/11/2022,8,Brodie Estates,"1,312",3,2,2/0/2,0.14,No,901 Blane  Circle ,Lampasas,31.0809,-98.217909,"$287,900 "
501,20187047,N,RESI,Active,None,1935,,Less Than .5 Acre (not Zero),,Residential,,"$288,000 ",,"$288,000 ",,,10/13/2022,6,Ot Cisco,"3,400",3,3,1/0/1,0.072,No,306 Conrad Hilton  Boulevard ,Cisco,32.391551,-98.981915,"$288,000 "
501,20188241,N,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$518 ,Residential,,"$288,900 ",,"$288,900 ",,,10/18/2022,1,Verandah Ph 5b & 5c,"1,532",3,2,2/0/0,0.144,No,1809 Damianita  Drive ,Royse City,32.992906,-96.282473,"$288,900 "
501,20176326,,RESI,Active,None,1969,,Less Than .5 Acre (not Zero),,Residential,,"$309,000 ",,"$289,000 ",,,9/30/2022,19,None,"1,988",4,3,2/0/1,0.36,No,683  E Main  Street ,Van,32.524805,-95.627407,"$289,000 "
501,20177885,,RESI,Active,None,1979,,Less Than .5 Acre (not Zero),,Residential,,"$299,999 ",,"$289,000 ",,,10/4/2022,15,Trailwood 07,"1,436",3,2,2/3/2005,0.182,No,2006 Montana  Trail ,Grand Prairie,32.64744,-97.032165,"$289,000 "
501,20179572,,RESI,Active,None,1981,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/5/2022,14,Chapel Forest,"1,348",3,3,2/0/2,0.12,No,3046 Airhaven  Street ,Dallas,32.905597,-96.874227,"$289,000 "
501,20180879,,RESI,Active,None,1959,,Less Than .5 Acre (not Zero),,Residential,,"$295,000 ",,"$289,000 ",,,10/6/2022,13,Broadway Terrace,"1,364",3,2,/0/0,0.247,No,313 Marigold  Drive ,Garland,32.884124,-96.627885,"$289,000 "
501,20181962,,RESI,Active,None,1935,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/7/2022,12,Wm Loving,"1,514",3,2,/0/0,0.36,No,700  W Sycamore  Street ,Denton,33.212902,-97.139199,"$289,000 "
501,20184435,,RESI,Active,None,1985,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/12/2022,7,Oak Ridge Estates,"1,290",3,2,2/0/2,0.149,No,1421 Brandywine  Circle ,Denton,33.230854,-97.095125,"$289,000 "
501,20184438,,RESI,Active,None,1950,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/12/2022,7,W ARCHER,"1,850",5,3,0/1/1,0.422,No,151 Patton  Lane ,Tyler,32.354219,-95.361838,"$289,000 "
501,20184922,,RESI,Active,None,1998,,1 to < 3 Acres,,Residential,,"$289,000 ",,"$289,000 ",,,10/12/2022,7,10507,"4,115",0,2,4/0/4,2.586,No,310  W Broadway  Street ,Big Sandy,32.5844,-95.115529,"$289,000 "
501,20185001,N,RESI,Active,None,1959,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/14/2022,5,Casa View Heights 18 02,"1,348",3,2,/2/2,0.186,No,3209 Caribbean  Drive ,Mesquite,32.831735,-96.648814,"$289,000 "
501,20185962,N,RESI,Active,None,1963,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/14/2022,5,Forest Oaks West,"1,587",4,2,2/2/2002,0.248,No,809 Timberhill  Drive ,Hurst,32.827774,-97.187173,"$289,000 "
501,20186737,N,RESI,Active,None,1982,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/18/2022,1,Alta Vista Acres,"1,327",3,2,2/0/2,0.239,No,4633 Estes Park  Road ,Haltom City,32.857984,-97.273414,"$289,000 "
501,20187777,N,RESI,Active,Voluntary,2002,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/17/2022,2,Harbor Point Sec 01,"1,640",3,3,2/0/2,0.484,No,307 Bay  Court ,Gun Barrel City,32.347822,-96.154843,"$289,000 "
501,20188319,N,RESI,Active,None,1971,,Less Than .5 Acre (not Zero),,Residential,,"$289,000 ",,"$289,000 ",,,10/17/2022,1,Hillside Village 2,"1,272",4,2,/2/2,0.14,No,808 Meadow Mead  Drive ,Allen,33.098066,-96.649995,"$289,000 "
501,20185471,$,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$100 ,Residential,,"$304,168 ",,"$289,168 ",,,10/13/2022,6,Jacksons Run,"1,269",3,2,2/0/2,0.13,No,6407 Graceland  Drive ,Greenville,33.109221,-96.093142,"$289,168 "
501,20180030,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$400 ,Residential,,"$289,490 ",,"$289,490 ",,,10/6/2022,13,Remington Ridge,"1,447",3,2,2/0/2,0.13,No,714 Christopher  Drive ,Cleburne,32.340239,-97.43233,"$289,490 "
501,20179757,,RESI,Active,None,2018,,Less Than .5 Acre (not Zero),,Residential,,"$289,500 ",,"$289,500 ",,,10/5/2022,12,Gribble,"1,531",3,2,2/0/2,0.138,No,1516  E Broadway  Street ,Gainesville,33.625607,-97.128811,"$289,500 "
501,20187686,$,RESI,Active,None,1997,,.5 to < 1 Acre,,Residential,,"$299,500 ",,"$289,500 ",,,10/17/2022,2,Prairie Hill Estates,"2,179",6,4,0/1/1,0.519,No,404  W Andrew Dr ,Mabank,32.357312,-96.11004,"$289,500 "
501,20176190,N,RESI,Active,None,1980,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,9/30/2022,5,Summerfields Add,"1,914",3,2,2/0/2,0.176,No,4217 Campion  Lane ,Fort Worth,32.877404,-97.292624,"$289,900 "
501,20177647,,RESI,Active,None,1992,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/3/2022,16,Chapel Creek Ranch,"1,780",3,2,2/0/2,0.158,No,11012 Fandor  Street ,Fort Worth,32.755059,-97.517546,"$289,900 "
501,20178373,$,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$295,000 ",,"$289,900 ",,,10/4/2022,15,Peters,"1,508",4,2,/1/2,0.252,Yes,316 Hill  Street ,Hico,31.984154,-98.033599,"$289,900 "
501,20179592,,RESI,Active,None,1962,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/5/2022,14,Tangelwood,"1,341",4,2,0/2/2,0.199,No,1940 Holcomb  Road ,Dallas,32.745842,-96.673406,"$289,900 "
501,20181707,$,RESI,Active,None,1963,,Less Than .5 Acre (not Zero),,Residential,,"$325,000 ",,"$289,900 ",,,10/7/2022,11,Bruton Terrace,"1,625",3,2,2/2/2002,0.037,No,2517 Blanton  Street ,Dallas,32.754778,-96.667756,"$289,900 "
501,20181959,$,RESI,Active,None,1959,,Less Than .5 Acre (not Zero),,Residential,,"$293,900 ",,"$289,900 ",,,10/7/2022,12,Meadowbrook Estates Add,"1,817",3,2,1/0/1,0.215,No,1971 Nottingham  Boulevard ,Fort Worth,32.749039,-97.212251,"$289,900 "
501,20182164,,RESI,Active,Mandatory,2000,Semi-Annual,Less Than .5 Acre (not Zero),$181 ,Residential,,"$289,900 ",,"$289,900 ",,,10/10/2022,9,Remington Point Add,"1,571",3,2,2/0/2,0.18,No,6001 Bronze River  Road ,Fort Worth,32.84487,-97.381071,"$289,900 "
501,20182260,,RESI,Active,None,1998,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/9/2022,10,Teagarden Place,"1,722",3,2,2/0/2,0.138,No,2336 Licorice  Place ,Dallas,32.669721,-96.6639,"$289,900 "
501,20182399,,RESI,Active,Mandatory,2009,Semi-Annual,Less Than .5 Acre (not Zero),$246 ,Residential,,"$289,900 ",,"$289,900 ",,,10/9/2022,10,Heartland Tr A Ph 3a,"1,696",3,2,2/0/2,0.15,No,4017 Gabi  Avenue ,Heartland,32.694494,-96.454706,"$289,900 "
501,20183607,,RESI,Active,None,1981,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/11/2022,8,Meadows Add,"2,151",4,2,2/0/2,0.185,No,7809 Silveridge  Drive ,Fort Worth,32.629081,-97.395178,"$289,900 "
501,20183960,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$174 ,Residential,,"$289,900 ",,"$289,900 ",,,10/11/2022,8,Sky Harbour Sec 2,"1,560",3,2,0/0/2,0.26,No,615 Gemini  Court ,Granbury,32.492926,-97.775251,"$289,900 "
501,20185026,N,RESI,Active,None,1985,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/18/2022,1,College Park 02,"1,596",3,2,2/0/2,0.164,No,7613 Tulane  Drive ,Rowlett,32.88861,-96.528284,"$289,900 "
501,20185685,$,RESI,Active,Mandatory,2019,Quarterly,Less Than .5 Acre (not Zero),$155 ,Residential,,"$299,900 ",,"$289,900 ",,,10/13/2022,6,Parks at Boat Club,"1,402",3,2,2/0/2,0.12,No,6124 Misty Breeze  Drive ,Fort Worth,32.886325,-97.416882,"$289,900 "
501,20185768,N,RESI,Active,None,1978,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/13/2022,6,Willow Creek,"2,204",3,2,2/0/2,0.442,No,909 Highland  Drive ,Cleburne,32.332056,-97.398753,"$289,900 "
501,20186353,N,RESI,Active,None,2014,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/13/2022,6,Indian Wells Addn: Acres .161,"1,666",4,2,2/0/2,0.161,No,826 Great Waters  Drive ,Abilene,32.387932,-99.711301,"$289,900 "
501,20186957,N,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/14/2022,5,Liberty Heights,"1,617",4,2,1/0/1,0.157,No,3213 Fernwood  Avenue ,Dallas,32.706206,-96.805387,"$289,900 "
501,20187028,N,RESI,Active,Mandatory,2006,Semi-Annual,Less Than .5 Acre (not Zero),$300 ,Residential,,"$289,900 ",,"$289,900 ",,,10/15/2022,3,Woodland Creek Ph 1,"1,517",3,2,2/0/0,0.165,No,3012 Spencer  Circle ,Royse City,32.968721,-96.299487,"$289,900 "
501,20187690,$,RESI,Active,None,1979,,Less Than .5 Acre (not Zero),,Residential,,"$189,900 ",,"$289,900 ",,,10/17/2022,2,meadowdale 3,"1,727",3,2,2/0/0,0.248,No,3619 Red Wolf ,Mesquite,32.815087,-96.598725,"$289,900 "
501,20189068,N,RESI,Active,None,1970,,Less Than .5 Acre (not Zero),,Residential,,"$289,900 ",,"$289,900 ",,,10/18/2022,1,CRESCENT OAKS BEACH ESTATES,"1,192",3,1,/0/0,0.225,No,901 Lakeshore  Boulevard ,Oak Point,33.188822,-96.999159,"$289,900 "
501,20179768,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$330 ,Residential,,"$289,990 ",,"$289,990 ",,,10/5/2022,14,Trailwind,"1,898",3,3,2/0/2,0,No,3209 Conley  Court ,Mesquite,32.698557,-96.449332,"$289,990 "
501,20180941,$,RESI,Active,Mandatory,2012,Annually,Less Than .5 Acre (not Zero),$495 ,Residential,,"$299,990 ",,"$289,990 ",,,10/6/2022,13,Heartland Tr A Ph 3b,"1,869",3,2,2/0/2,0.135,No,2010 Carriage  Road ,Heartland,32.693044,-96.452107,"$289,990 "
501,20176977,,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$289,999 ",,"$289,999 ",,,10/2/2022,17,Mings Addition,"2,308",4,3,2/0/2,0.14,Yes,702 Warren  Street ,Gilmer,32.724035,-94.951339,"$289,999 "
501,20182497,,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$289,999 ",,"$289,999 ",,,10/7/2022,12,Woodcreek,"1,663",3,2,1/0/1,0.159,No,226 Marianne  Circle ,Sulphur Springs,33.1372,-95.566634,"$289,999 "
501,20185462,B,RESI,Active,None,1991,,Less Than .5 Acre (not Zero),,Residential,,"$289,999 ",,"$289,999 ",,,10/13/2022,6,Eden Road Estates,"1,457",3,2,2/0/2,0.145,No,6716 Copperwood  Court ,Arlington,32.635826,-97.129653,"$289,999 "
501,20176846,$,RESI,Active,None,1975,,Less Than .5 Acre (not Zero),,Residential,,"$300,000 ",,"$290,000 ",,,10/1/2022,15,Kenwood Heights 03,"1,406",3,2,2/0/2,0.172,No,5811 Redwood  Lane ,Rowlett,32.913973,-96.572597,"$290,000 "
501,20177179,,RESI,Active,None,2019,,1 to < 3 Acres,,Residential,,"$290,000 ",,"$290,000 ",,,10/3/2022,16,None,"1,664",4,2,0/2/1,1,No,22752 Tx-19 ,Canton,32.45651,-95.856503,"$290,000 "
501,20178193,,RESI,Active,None,1928,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/4/2022,15,Caldwells R D,"1,610",4,2,/0/0,0.069,No,709  S Munger  Boulevard ,Dallas,32.791857,-96.757325,"$290,000 "
501,20179598,,RESI,Active,None,1986,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/5/2022,14,Meadow Creek Estates,"2,402",3,2,2/0/2,0.236,No,1109 Harvest Hill  Lane ,Lancaster,32.601346,-96.780152,"$290,000 "
501,20179940,,RESI,Active,None,1987,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/7/2022,12,Summerfields Add,"1,380",3,2,2/0/2,0.113,No,3805 Huckleberry  Drive ,Fort Worth,32.880549,-97.302345,"$290,000 "
501,20180073,$,RESI,Active,None,1983,,Less Than .5 Acre (not Zero),,Residential,,"$300,000 ",,"$290,000 ",,,10/5/2022,14,Club Estates,"1,531",3,2,2/0/0,0.165,No,4624 Preston Trail  Drive ,Mesquite,32.832444,-96.634922,"$290,000 "
501,20180415,,RESI,Active,None,2001,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/7/2022,12,Estates Of Quail Ridge,"1,645",3,2,2/0/2,0.25,No,1608 Marti  Drive ,Royse City,32.958851,-96.343972,"$290,000 "
501,20180848,$,RESI,Active,None,1986,,Less Than .5 Acre (not Zero),,Residential,,"$300,000 ",,"$290,000 ",,,10/14/2022,5,Stonewood Heights Ph 02 Rep,"1,642",3,3,2/0/2,0.153,No,718 Bishop  Street ,Cedar Hill,32.576062,-96.93019,"$290,000 "
501,20180882,$,RESI,Active,None,1956,,Less Than .5 Acre (not Zero),,Residential,,"$300,000 ",,"$290,000 ",,,10/6/2022,13,Shiloh Park 02,"1,081",4,2,/0/0,0.177,No,9868 San Lea  Drive ,Dallas,32.823816,-96.662185,"$290,000 "
501,20183425,,RESI,Active,None,1971,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/11/2022,8,Preston Hollow,"1,752",3,2,2/0/2,0.395,No,2402 Woodlawn  Drive ,Ennis,32.345948,-96.647775,"$290,000 "
501,20184330,N,RESI,Active,None,2016,,.5 to < 1 Acre,,Residential,,"$290,000 ",,"$290,000 ",,,10/12/2022,6,Potosi Prairie Add,"1,616",3,2,2/0/2,0.67,No,113 Foxtrot  Lane ,Abilene,32.326179,-99.691766,"$290,000 "
501,20184885,,RESI,Active,None,1967,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/12/2022,7,Hillcrest Park 03,"2,191",4,3,2/0/2,0.217,No,1912 Douglas  Circle ,Irving,32.840881,-96.969563,"$290,000 "
501,20185118,,RESI,Active,None,2021,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/12/2022,7,Hampton Hills Sec Vii,"1,623",3,2,2/0/2,0.151,No,2910 Journey  Lane ,Abilene,32.347,-99.845053,"$290,000 "
501,20186119,N,RESI,Active,None,1979,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/13/2022,6,Western Hills Estates,"1,525",3,2,2/0/2,0.193,No,721 Eagle  Drive ,DeSoto,32.582818,-96.872699,"$290,000 "
501,20186399,N,RESI,Active,None,1984,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/14/2022,4,Trails Add,"1,286",3,2,2/0/2,0.192,No,6000 Ranch  Road ,Haltom City,32.851157,-97.253207,"$290,000 "
501,20187547,N,RESI,Active,None,2022,,Less Than .5 Acre (not Zero),,Residential,,"$290,000 ",,"$290,000 ",,,10/17/2022,2,Newcoms Add,"1,448",3,2,2/0/2,0.193,No,512  N 5th  Street ,Quinlan,32.915093,-96.141259,"$290,000 "
501,20181060,,RESI,Active,None,2001,,Less Than .5 Acre (not Zero),,Residential,,"$291,000 ",,"$291,000 ",,,10/7/2022,12,Legacy Village Add,"1,859",4,2,2/0/2,0.12,No,9928 Long Rifle  Drive ,Fort Worth,32.76305,-97.492364,"$291,000 "
501,20181131,,RESI,Active,None,2017,,Less Than .5 Acre (not Zero),,Residential,,"$291,000 ",,"$291,000 ",,,10/7/2022,12,Runaway Bay Unit 7a,"1,349",3,3,2/0/2,0.236,No,128 Lark Meadow  Drive ,Runaway Bay,33.193665,-97.898657,"$291,000 "
501,20178154,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$360 ,Residential,,"$299,990 ",,"$292,490 ",,,10/3/2022,16,Wellington Farms,"1,614",3,2,2/0/2,0.1,No,15118 Danielle  Drive ,Dallas,32.685283,-96.560303,"$292,490 "
501,20179738,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$330 ,Residential,,"$292,490 ",,"$292,490 ",,,10/5/2022,14,Trailwind,"1,582",3,2,2/0/2,0.099,No,3104 Castleman  Way ,Mesquite,32.697071,-96.449018,"$292,490 "
501,20179779,,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$330 ,Residential,,"$292,490 ",,"$292,490 ",,,10/5/2022,14,Trailwind,"1,519",3,2,2/0/2,0.101,No,3108 Castleman  Way ,Mesquite,32.697116,-96.448908,"$292,490 "
501,20179054,,RESI,Active,None,2018,,Less Than .5 Acre (not Zero),,Residential,,"$292,500 ",,"$292,500 ",,,10/4/2022,15,City of Rio Vista,"1,446",3,2,0/2/2,0.239,No,101  E Main  Street ,Rio Vista,32.233843,-97.376603,"$292,500 "
501,20177594,$,RESI,Active,None,1985,,Less Than .5 Acre (not Zero),,Residential,,"$294,900 ",,"$292,900 ",,,10/3/2022,16,Oakridge 10,"1,282",3,2,2/0/2,0.099,No,2004 Peakwood  Drive ,Garland,32.932,-96.67737,"$292,900 "
501,20188223,N,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$520 ,Residential,,"$292,999 ",,"$292,999 ",,,10/17/2022,2,Verandah,"1,602",3,2,2/0/2,0.132,No,1109 Acacia  Drive ,Royse City,32.94755,-96.310035,"$292,999 "
501,20176928,$,RESI,Active,Mandatory,2022,Annually,Less Than .5 Acre (not Zero),$480 ,Residential,,"$300,965 ",,"$293,100 ",,,10/1/2022,18,Magnolia,"1,733",4,2,2/0/2,0.165,No,819 Heirloom  Lane ,Royse City,33.042864,-96.297227,"$293,100 "
